primaryTitle,startYear,averageRating,numVotes,genres,tmdb_id,budget,revenue,release_date,popularity,vote_average,vote_count
Reis,2017,1.0,74331,"Biography,Drama",421682.0,8000000.0,0.0,2017-03-02,0.2343,1.905,42.0
Cumali Ceber,2017,1.0,39587,Comedy,470121.0,0.0,0.0,2017-08-09,0.1851,1.6,20.0
A Business Proposal,2025,1.0,22512,"Comedy,Drama,Romance",1406956.0,0.0,0.0,2025-02-06,1.5894,2.3,11.0
321 Action,2020,1.0,10246,Drama,,,,,,,
2025 - The World enslaved by a Virus,2021,1.0,2773,"Adventure,Sci-Fi",810511.0,10000.0,0.0,2021-01-15,1.9631,1.734,32.0
Nyay: The Justice,2021,1.1,1682,Drama,,,,,,,
Elment az öszöd,2013,1.1,1343,Drama,330283.0,0.0,0.0,2013-05-22,0.3469,0.0,0.0
The Crimean Bridge. Made with Love!,2018,1.1,1253,Romance,556485.0,2495650.0,1066431.0,2018-11-01,0.7116,2.5,12.0
A Cosmic Adventure on Earth,2002,1.1,1185,Comedy,,,,,,,
Sadak 2,2020,1.2,96984,"Action,Drama",556270.0,0.0,0.0,2020-10-28,1.3647,4.2,8.0
Smolensk,2016,1.2,40356,"Drama,Thriller",415861.0,3000000.0,0.0,2016-09-09,0.5622,2.647,58.0
15/07: Break of Dawn,2021,1.2,20707,"Action,Drama,War",,,,,,,
Daniel the Wizard,2004,1.2,15095,"Comedy,Crime,Fantasy",9596.0,0.0,0.0,2004-08-12,0.3471,1.536,55.0
Cumali Ceber 2,2018,1.2,10449,Comedy,587245.0,0.0,0.0,2018-06-08,0.1497,1.3,7.0
Müjde,2022,1.2,9958,Drama,950029.0,0.0,0.0,2022-03-16,0.1627,3.0,3.0
Desh Drohi,2008,1.2,6818,"Action,Thriller",309698.0,0.0,0.0,2008-11-14,0.9301,2.1,6.0
Finding Jesus,2020,1.2,1485,"Animation,Family,Fantasy",739815.0,0.0,0.0,2020-12-29,0.3858,2.0,21.0
Kirk Cameron's Saving Christmas,2014,1.3,17160,"Comedy,Family",295884.0,500000.0,2800000.0,2014-11-14,0.7203,1.797,96.0
Foodfight!,2012,1.3,12387,"Action,Adventure,Animation",116977.0,65000000.0,73706.0,2012-06-15,1.3979,1.9,145.0
Dream.net,2009,1.3,10056,"Comedy,Romance,Sport",60242.0,3500000.0,169466.0,2009-04-16,0.1788,2.0,22.0
A Fox's Tale,2008,1.3,9110,"Adventure,Animation,Family",31250.0,0.0,0.0,2008-04-17,0.7855,1.7,22.0
Potato Salad,2015,1.3,7127,"Comedy,Horror",340401.0,0.0,3020134.0,2015-07-23,0.5747,2.669,86.0
Hanum & Rangga,2018,1.3,3574,"Drama,Romance",552385.0,0.0,0.0,2018-11-08,0.334,1.7,3.0
We Love Bad Boys,2024,1.3,3025,Comedy,1471367.0,0.0,0.0,2024-03-08,0.5379,0.0,0.0
Ax 'Em,1992,1.3,2155,"Comedy,Horror,Mystery",155341.0,0.0,0.0,1992-01-29,0.1617,3.0,27.0
In Search of the Titanic,2004,1.3,1898,"Adventure,Animation,Family",71241.0,4245800.0,0.0,2004-06-17,0.915,3.019,26.0
"Gulczas, what do you think...",2001,1.3,1375,"Comedy,Crime",144197.0,0.0,0.0,2001-12-07,0.2956,1.6,15.0
Enes Batur: Gerçek Kahraman,2019,1.4,10043,Comedy,607971.0,0.0,0.0,2019-05-31,0.3587,3.6,11.0
Ram Gopal Varma Ki Aag,2007,1.4,7177,"Action,Adventure,Comedy",31248.0,0.0,0.0,2007-08-31,1.215,1.9,27.0
The Legend of the Titanic,1999,1.4,3699,"Animation,Drama,Family",44310.0,0.0,0.0,1999-04-17,0.4596,3.28,50.0
Shark Exorcist,2014,1.4,2084,"Comedy,Fantasy,Horror",,,,,,,
Santa and the Ice Cream Bunny,1972,1.4,1725,"Family,Fantasy",79720.0,0.0,0.0,1972-11-18,0.4258,2.4,23.0
Rafathar,2017,1.4,1062,"Action,Adventure,Comedy",468929.0,0.0,0.0,2017-08-05,0.4146,2.9,8.0
The Cost of Deception,2021,1.5,40835,"Action,Crime,Drama",876671.0,2500000.0,201000.0,2021-10-21,0.4189,3.897,34.0
Superbabies: Baby Geniuses 2,2004,1.5,32004,"Comedy,Family,Sci-Fi",31117.0,0.0,9109322.0,2004-08-27,1.9956,2.811,151.0
Turks in Space,2006,1.5,16935,"Action,Comedy,Sci-Fi",31279.0,5000000.0,0.0,2006-12-14,0.5149,2.214,56.0
Titanic: The Legend Goes On...,2000,1.5,9741,"Animation,Family,Fantasy",71235.0,0.0,0.0,2000-09-15,0.9142,2.8,73.0
Zombie Nation,2004,1.5,8327,Horror,25061.0,1500.0,0.0,2004-10-05,1.0779,2.651,43.0
Yes Sir,2007,1.5,7093,"Action,Comedy",31241.0,0.0,0.0,2007-01-19,0.2423,1.792,24.0
Birdemic 2: The Resurrection,2013,1.5,5183,"Horror,Thriller",188489.0,0.0,0.0,2013-04-09,1.535,2.1,116.0
Jurassic Shark,2012,1.5,5095,"Action,Adventure,Comedy",120846.0,0.0,0.0,2012-09-21,2.208,2.432,103.0
Debt Fees,2019,1.5,4801,Comedy,608165.0,0.0,0.0,2019-01-18,0.1861,3.2,9.0
The Butterfly Ball,1977,1.5,3013,Music,285814.0,0.0,0.0,1977-04-01,0.4316,3.2,5.0
The Trump Prophecy,2018,1.5,2736,"Biography,Drama",548887.0,0.0,0.0,2018-10-02,0.3688,2.5,18.0
Aliens vs. Avatars,2011,1.5,1759,"Horror,Sci-Fi",79582.0,0.0,0.0,2011-09-20,0.6814,3.121,33.0
The Class 4,2015,1.5,1425,Comedy,49538.0,160000000.0,353624124.0,2011-06-01,0.4488,7.297,12984.0
German Fried Movie,1992,1.5,1344,Comedy,264340.0,0.0,0.0,1992-04-09,0.1626,2.2,5.0
The Witness,2023,1.5,1248,Drama,1283930.0,0.0,0.0,2023-05-22,0.0071,0.0,0.0
Kac Wawa,2012,1.5,1188,Comedy,97212.0,0.0,0.0,2012-03-02,0.4323,2.0,20.0
Jack N Jill,2022,1.5,1155,"Comedy,Sci-Fi,Thriller",804319.0,0.0,0.0,2022-05-20,0.848,4.1,4.0
Making of the Meme King,2023,1.5,1100,"Documentary,Fantasy,Horror",1136968.0,0.0,0.0,2023-06-06,0.0754,0.0,0.0
Welcome to New York,2018,1.5,1020,"Comedy,Drama",506456.0,0.0,0.0,2018-02-23,0.5659,3.3,3.0
Justin Bieber's Believe,2013,1.6,17968,"Documentary,Music",229296.0,5000000.0,10980157.0,2013-12-19,1.3415,7.1,197.0
Jonas Brothers: The 3D Concert Experience,2009,1.6,17581,"Biography,Documentary,Music",40534.0,0.0,0.0,2009-02-27,1.044,6.3,79.0
Keloglan vs. the Black Prince,2006,1.6,9719,Comedy,31387.0,0.0,5000000.0,2006-01-06,0.4918,1.9,32.0
